du-id,measTimeStampRf,nrCellIdentity,RRU.PrbUsedDl,targetTput,DRB.UEThpDl,x,y,RF.serving.RSRP,RF.serving.RSRQ,RF.serving.RSSINR,nbCellIdentity_0,nbCellIdentity_1,nbCellIdentity_2,nbCellIdentity_3,nbCellIdentity_4,rsrp_nb0,rsrq_nb0,rssinr_nb0,rsrp_nb1,rsrq_nb1,rssinr_nb1,rsrp_nb2,rsrq_nb2,rssinr_nb2,rsrp_nb3,rsrq_nb3,rssinr_nb3,rsrp_nb4,rsrq_nb4,rssinr_nb4,Viavi.UE.anomalies,ue-id
1013,2021-06-25 11:42:34,c13/N77,77,0.3,0.3,2271,-1009,-89.51070998,-10.79413445,32.71807747,c13/B13,c13/B2,c4/N77,c12/N77,c5/N77,-91.51540822,-10.79549597,30.71337924,-97.38991797,-10.80604183,24.83886948,-97.30299909,-10.80576033,24.92578836,-97.7086215,-10.8071234,24.52016595,-100.27791,-10.81943824,21.9508774,0,Train passenger 2
1002,2021-06-25 11:42:34,c2/N77,58,0.1,0.1,-1010,-1024,-117.7378034,-40.79335632,14.49098402,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425017,-40.79426171,12.48628578,-119.9560424,-40.79438511,12.27274502,-122.5711586,-40.79650909,9.657628845,-123.1446579,-40.7971717,9.084129521,-125.6170114,-40.80127774,6.611776022,0,Waiting passenger 3
1003,2021-06-25 11:42:34,c3/N77,56,0.1,0.1,-594,-981,-117.2209816,-40.79318314,15.0078059,c2/N77,c3/B13,c10/N77,c1/N77,c3/B2,-117.4979036,-40.79327337,14.73088383,-119.2256798,-40.79398699,13.00310766,-122.373051,-40.79629977,9.855736481,-124.9194796,-40.7998746,7.309307859,-125.1001895,-40.80021681,7.128597908,0,Waiting passenger 9
1003,2021-06-25 11:42:34,c3/B13,45,0.1,0.07624891707,-512,-913,-118.2297171,-40.79354144,13.99907039,c3/N77,c2/B13,c3/B2,c10/B13,c1/B13,-116.2250188,-40.79290228,16.00376862,-119.3639854,-40.79405733,12.86480208,-124.1042268,-40.79849581,8.124560629,-125.3744723,-40.80076415,6.85431516,-126.1315517,-40.80246683,6.097235786,0,Waiting passenger 1
1009,2021-06-25 11:42:34,c9/N77,59,0.1,0.1,-1485,-855,-118.0823889,-40.79348379,14.1463985,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-120.0870872,-40.7944639,12.14170027,-120.859427,-40.79497977,11.36936048,-122.55511,-40.79649178,9.673677476,-122.7378394,-40.79669275,9.490948102,-125.9615969,-40.80205843,6.26719051,0,Waiting passenger 5
1005,2021-06-25 11:42:34,c5/B13,91,0.75,0.4144198037,1008,359.2,-84.14863537,-10.79248813,38.08015208,c5/B2,c5/N77,c4/B13,c1/B13,c6/B13,-90.02314513,-10.79442516,32.20564232,-82.14393714,-10.79223833,40.08485032,-95.11356479,-10.80024271,27.11522266,-96.3229575,-10.80294629,25.90582996,-97.71625896,-10.80715031,24.51252849,0,Car-3
1003,2021-06-25 11:42:34,c3/B13,45,0.1,0.0813449499,-415,-1365,-117.2490195,-40.79319201,14.97976791,c3/N77,c3/B2,c10/B13,c2/B13,c11/B13,-115.2443213,-40.79268201,16.98446614,-123.1235293,-40.79714571,9.10525815,-123.3010198,-40.79736804,8.927767649,-124.9250414,-40.79988492,7.303746091,-125.2841624,-40.80058011,6.944625017,0,Waiting passenger 2
1009,2021-06-25 11:42:34,c9/N77,52,0.1,0.1,-1593,-877,-116.1587029,-40.79288576,16.07008457,c9/B13,c2/N77,c8/N77,c10/N77,c9/B2,-118.1634011,-40.79351525,14.06538633,-122.0726149,-40.79599999,10.15617257,-122.6179926,-40.79655999,9.610794885,-123.0422874,-40.79704693,9.18650006,-124.0379109,-40.79839461,8.190876573,0,Waiting passenger 6
1002,2021-06-25 11:42:34,c2/N77,58,0.1,0.1,-1010,-1024,-117.7378034,-40.79335632,14.49098402,c2/B13,c10/N77,c3/N77,c9/N77,c2/B2,-119.7425017,-40.79426171,12.48628578,-119.9560424,-40.79438511,12.27274502,-122.5711586,-40.79650909,9.657628845,-123.1446579,-40.7971717,9.084129521,-125.6170114,-40.80127774,6.611776022,0,Waiting passenger 3
